"","6:00 AM - 9:59 AM","10:00 AM - 2:59 PM","3:00 PM - 6:59 PM","7:00 PM - 11:59 PM"
"Starbucks","29.9%","39.8%","23.7%","6.7%"
"Dunkin","39.9%","38.8%","16.4%","4.8%"
